="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="F0_index",="F1_index",="F2_index",="F3_index",="F4_index",="F5_index",="F6_index",="F7_index",="F8_index",="F9_index",="F10_index",="F11_index",="F12_index",="F13_index",="F14_index",="F15_index"
="L1_sent1_best",="0.064***",="0.067***",="0.078***",="0.108***",="0.095***",="0.102***",="0.118***",="0.066*",="0.068*",="0.056",="0.065",="0.071",="0.076",="0.051",="0.050",="0.073"
="",="(0.019)",="(0.020)",="(0.026)",="(0.027)",="(0.030)",="(0.032)",="(0.034)",="(0.035)",="(0.040)",="(0.039)",="(0.044)",="(0.043)",="(0.048)",="(0.048)",="(0.052)",="(0.050)"
="L2_sent1_best",="-0.027**",="-0.035***",="-0.027",="-0.050***",="-0.046**",="-0.031",="-0.066***",="-0.056**",="-0.064**",="-0.054**",="-0.053*",="-0.045",="-0.078**",="-0.078**",="-0.073**",="-0.055"
="",="(0.013)",="(0.013)",="(0.017)",="(0.018)",="(0.021)",="(0.022)",="(0.023)",="(0.025)",="(0.026)",="(0.028)",="(0.030)",="(0.029)",="(0.034)",="(0.034)",="(0.034)",="(0.035)"
="L3_sent1_best",="-0.014",="-0.017",="-0.036**",="-0.030*",="-0.016",="-0.045**",="-0.040*",="-0.048**",="-0.039",="-0.031",="-0.031",="-0.055**",="-0.057*",="-0.064**",="-0.048",="-0.025"
="",="(0.012)",="(0.013)",="(0.018)",="(0.017)",="(0.021)",="(0.021)",="(0.023)",="(0.022)",="(0.026)",="(0.025)",="(0.027)",="(0.028)",="(0.031)",="(0.029)",="(0.033)",="(0.030)"
="L4_sent1_best",="-0.002",="-0.028**",="-0.028*",="-0.010",="-0.033",="-0.036*",="-0.054**",="-0.046*",="-0.035",="-0.038",="-0.058**",="-0.062**",="-0.070**",="-0.052",="-0.040",="-0.029"
="",="(0.012)",="(0.013)",="(0.017)",="(0.018)",="(0.020)",="(0.021)",="(0.022)",="(0.024)",="(0.025)",="(0.026)",="(0.029)",="(0.030)",="(0.029)",="(0.033)",="(0.031)",="(0.035)"
="L5_sent1_best",="-0.024*",="-0.022*",="-0.005",="-0.023",="-0.016",="-0.032",="-0.021",="-0.013",="-0.015",="-0.037",="-0.040",="-0.046",="-0.022",="-0.009",="-0.002",="-0.007"
="",="(0.013)",="(0.013)",="(0.019)",="(0.018)",="(0.022)",="(0.022)",="(0.024)",="(0.026)",="(0.026)",="(0.030)",="(0.031)",="(0.030)",="(0.033)",="(0.033)",="(0.035)",="(0.034)"
="L6_sent1_best",="-0.014",="0.018",="0.004",="0.016",="-0.007",="-0.001",="0.006",="-0.001",="-0.025",="-0.027",="-0.041",="-0.040",="-0.026",="-0.019",="-0.033",="-0.060"
="",="(0.015)",="(0.018)",="(0.022)",="(0.024)",="(0.027)",="(0.027)",="(0.032)",="(0.029)",="(0.036)",="(0.034)",="(0.037)",="(0.035)",="(0.040)",="(0.039)",="(0.043)",="(0.037)"
="L7_sent1_best",="-0.023",="0.013",="0.056",="-0.015",="-0.018",="-0.002",="-0.014",="0.008",="0.018",="0.025",="0.020",="0.015",="0.011",="0.008",="0.007",="-0.037"
="",="(0.025)",="(0.028)",="(0.035)",="(0.036)",="(0.041)",="(0.045)",="(0.047)",="(0.052)",="(0.054)",="(0.058)",="(0.058)",="(0.061)",="(0.065)",="(0.068)",="(0.070)",="(0.071)"
="L8_sent1_best",="0.052***",="0.035**",="-0.020",="-0.004",="0.022",="0.020",="0.025",="0.030",="0.013",="0.007",="0.021",="0.040",="0.041",="0.045",="0.017",="-0.004"
="",="(0.017)",="(0.018)",="(0.022)",="(0.024)",="(0.029)",="(0.030)",="(0.030)",="(0.034)",="(0.035)",="(0.036)",="(0.038)",="(0.040)",="(0.041)",="(0.040)",="(0.042)",="(0.044)"
="L1_returns",="-0.030",="-0.053",="-0.024",="-0.001",="0.001",="0.005",="-0.064",="-0.046",="-0.047",="-0.024",="-0.064",="-0.010",="-0.002",="-0.021",="-0.129*",="-0.126*"
="",="(0.032)",="(0.033)",="(0.043)",="(0.045)",="(0.052)",="(0.051)",="(0.056)",="(0.053)",="(0.059)",="(0.061)",="(0.067)",="(0.065)",="(0.070)",="(0.072)",="(0.069)",="(0.073)"
="L2_returns",="-0.022",="0.002",="0.033",="0.021",="0.032",="-0.033",="-0.018",="-0.013",="0.016",="-0.024",="0.031",="0.040",="0.011",="-0.090",="-0.095",="-0.125*"
="",="(0.031)",="(0.036)",="(0.043)",="(0.044)",="(0.049)",="(0.054)",="(0.053)",="(0.054)",="(0.060)",="(0.059)",="(0.061)",="(0.061)",="(0.068)",="(0.061)",="(0.070)",="(0.066)"
="L3_returns",="0.004",="0.040",="0.020",="0.028",="-0.032",="-0.024",="-0.029",="-0.006",="-0.035",="0.023",="0.034",="-0.000",="-0.101",="-0.108",="-0.127*",="-0.158**"
="",="(0.031)",="(0.031)",="(0.039)",="(0.041)",="(0.048)",="(0.047)",="(0.051)",="(0.057)",="(0.057)",="(0.058)",="(0.059)",="(0.066)",="(0.062)",="(0.068)",="(0.068)",="(0.079)"
="L4_returns",="0.018",="-0.003",="0.011",="-0.045",="-0.034",="-0.035",="-0.006",="-0.038",="0.020",="0.035",="0.002",="-0.103*",="-0.115*",="-0.132**",="-0.168**",="-0.203***"
="",="(0.028)",="(0.032)",="(0.040)",="(0.041)",="(0.047)",="(0.048)",="(0.056)",="(0.053)",="(0.058)",="(0.056)",="(0.066)",="(0.058)",="(0.066)",="(0.065)",="(0.077)",="(0.070)"
="L5_returns",="-0.028",="-0.017",="-0.076*",="-0.069*",="-0.061",="-0.037",="-0.077",="-0.010",="0.003",="-0.031",="-0.134**",="-0.142**",="-0.161**",="-0.194***",="-0.232***",="-0.236***"
="",="(0.030)",="(0.029)",="(0.040)",="(0.041)",="(0.046)",="(0.050)",="(0.052)",="(0.052)",="(0.057)",="(0.058)",="(0.059)",="(0.060)",="(0.065)",="(0.072)",="(0.070)",="(0.077)"
="L6_returns",="0.014",="-0.044",="-0.038",="-0.039",="-0.010",="-0.057",="0.008",="0.034",="-0.001",="-0.105*",="-0.113*",="-0.126**",="-0.163**",="-0.203***",="-0.184**",="-0.191***"
="",="(0.027)",="(0.034)",="(0.038)",="(0.042)",="(0.049)",="(0.047)",="(0.052)",="(0.053)",="(0.057)",="(0.056)",="(0.058)",="(0.063)",="(0.070)",="(0.069)",="(0.076)",="(0.073)"
="L7_returns",="-0.059*",="-0.054*",="-0.057",="-0.025",="-0.066",="-0.012",="0.010",="-0.023",="-0.126**",="-0.133**",="-0.145**",="-0.175***",="-0.214***",="-0.204***",="-0.199***",="-0.164**"
="",="(0.030)",="(0.028)",="(0.038)",="(0.041)",="(0.044)",="(0.046)",="(0.050)",="(0.050)",="(0.053)",="(0.054)",="(0.060)",="(0.063)",="(0.066)",="(0.068)",="(0.068)",="(0.067)"
="L8_returns",="-0.005",="-0.001",="0.043",="0.020",="0.039",="0.055",="0.028",="-0.020",="-0.033",="-0.031",="-0.061",="-0.063",="-0.024",="-0.019",="-0.019",="-0.006"
="",="(0.022)",="(0.023)",="(0.033)",="(0.033)",="(0.036)",="(0.038)",="(0.041)",="(0.038)",="(0.043)",="(0.045)",="(0.046)",="(0.046)",="(0.046)",="(0.048)",="(0.045)",="(0.047)"
="F0_d_returns_h",="8.150***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.891)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="F0_d_returns_l",="-7.318***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.250)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L1_vlm_ma60_adj",="-0.094",="-0.130**",="-0.158**",="-0.157*",="-0.167*",="-0.098",="-0.055",="-0.116",="-0.050",="0.014",="-0.019",="0.003",="-0.017",="0.047",="0.060",="0.135"
="",="(0.057)",="(0.058)",="(0.080)",="(0.082)",="(0.097)",="(0.096)",="(0.110)",="(0.112)",="(0.128)",="(0.124)",="(0.136)",="(0.139)",="(0.149)",="(0.157)",="(0.169)",="(0.171)"
="L2_vlm_ma60_adj",="-0.022",="-0.064",="-0.043",="-0.052",="0.005",="0.035",="-0.037",="0.033",="0.080",="0.032",="0.044",="0.035",="0.105",="0.092",="0.140",="0.166"
="",="(0.060)",="(0.063)",="(0.084)",="(0.081)",="(0.099)",="(0.098)",="(0.115)",="(0.117)",="(0.123)",="(0.125)",="(0.137)",="(0.140)",="(0.155)",="(0.160)",="(0.169)",="(0.168)"
="L3_vlm_ma60_adj",="-0.032",="-0.005",="-0.019",="0.039",="0.089",="0.023",="0.095",="0.158",="0.082",="0.093",="0.086",="0.138",="0.155",="0.173",="0.206",="0.336**"
="",="(0.060)",="(0.062)",="(0.079)",="(0.080)",="(0.095)",="(0.099)",="(0.111)",="(0.113)",="(0.117)",="(0.126)",="(0.131)",="(0.141)",="(0.151)",="(0.156)",="(0.160)",="(0.164)"
="L4_vlm_ma60_adj",="0.031",="0.013",="0.061",="0.113",="0.025",="0.080",="0.143",="0.069",="0.088",="0.064",="0.113",="0.122",="0.130",="0.170",="0.303*",="0.249"
="",="(0.059)",="(0.060)",="(0.079)",="(0.082)",="(0.099)",="(0.101)",="(0.110)",="(0.109)",="(0.124)",="(0.124)",="(0.139)",="(0.145)",="(0.155)",="(0.154)",="(0.161)",="(0.170)"
="L5_vlm_ma60_adj",="-0.012",="0.035",="0.084",="-0.011",="0.026",="0.096",="0.026",="0.055",="0.047",="0.104",="0.107",="0.111",="0.156",="0.280*",="0.230",="0.217"
="",="(0.058)",="(0.061)",="(0.081)",="(0.081)",="(0.101)",="(0.097)",="(0.109)",="(0.114)",="(0.123)",="(0.126)",="(0.142)",="(0.143)",="(0.151)",="(0.150)",="(0.167)",="(0.161)"
="L6_vlm_ma60_adj",="0.066",="0.121**",="0.048",="0.113",="0.171*",="0.094",="0.117",="0.102",="0.149",="0.141",="0.168",="0.201",="0.321**",="0.277*",="0.240",="0.252"
="",="(0.057)",="(0.060)",="(0.076)",="(0.085)",="(0.094)",="(0.098)",="(0.108)",="(0.111)",="(0.119)",="(0.132)",="(0.137)",="(0.140)",="(0.145)",="(0.158)",="(0.156)",="(0.161)"
="L7_vlm_ma60_adj",="0.075",="0.013",="0.065",="0.116",="0.043",="0.069",="0.050",="0.091",="0.098",="0.126",="0.151",="0.258*",="0.213",="0.164",="0.201",="0.130"
="",="(0.059)",="(0.058)",="(0.085)",="(0.080)",="(0.099)",="(0.097)",="(0.115)",="(0.114)",="(0.132)",="(0.134)",="(0.142)",="(0.144)",="(0.159)",="(0.155)",="(0.163)",="(0.158)"
="L8_vlm_ma60_adj",="-0.036",="0.033",="0.082",="0.059",="0.083",="0.095",="0.150",="0.141",="0.139",="0.213",="0.289**",="0.218",="0.184",="0.190",="0.139",="0.126"
="",="(0.055)",="(0.057)",="(0.075)",="(0.081)",="(0.094)",="(0.101)",="(0.110)",="(0.127)",="(0.126)",="(0.133)",="(0.136)",="(0.147)",="(0.146)",="(0.150)",="(0.151)",="(0.168)"
="L1_vol_ma60",="0.006",="0.016**",="0.016",="0.005",="0.017",="-0.003",="-0.022",="-0.019",="-0.015",="-0.021*",="-0.015",="-0.005",="0.002",="0.000",="0.018",="0.014"
="",="(0.009)",="(0.008)",="(0.013)",="(0.010)",="(0.012)",="(0.012)",="(0.015)",="(0.012)",="(0.021)",="(0.011)",="(0.017)",="(0.012)",="(0.017)",="(0.013)",="(0.016)",="(0.016)"
="L2_vol_ma60",="0.009",="0.012",="-0.001",="0.010",="-0.008",="-0.029**",="-0.026**",="-0.020",="-0.029***",="-0.024",="-0.008",="-0.004",="-0.003",="0.013",="0.012",="-0.012"
="",="(0.007)",="(0.011)",="(0.009)",="(0.012)",="(0.011)",="(0.012)",="(0.013)",="(0.019)",="(0.011)",="(0.015)",="(0.013)",="(0.015)",="(0.014)",="(0.015)",="(0.016)",="(0.019)"
="L3_vol_ma60",="0.014",="-0.001",="0.011",="-0.007",="-0.028**",="-0.021*",="-0.012",="-0.021**",="-0.019",="-0.001",="0.002",="0.002",="0.016",="0.016",="-0.010",="-0.005"
="",="(0.009)",="(0.007)",="(0.014)",="(0.010)",="(0.012)",="(0.012)",="(0.017)",="(0.010)",="(0.014)",="(0.012)",="(0.015)",="(0.013)",="(0.014)",="(0.015)",="(0.017)",="(0.013)"
="L4_vol_ma60",="-0.010",="0.002",="-0.015*",="-0.033***",="-0.027**",="-0.018",="-0.024***",="-0.024*",="-0.012",="-0.006",="-0.010",="0.006",="0.007",="-0.018",="-0.010",="-0.016"
="",="(0.007)",="(0.011)",="(0.009)",="(0.011)",="(0.011)",="(0.016)",="(0.009)",="(0.014)",="(0.011)",="(0.014)",="(0.011)",="(0.011)",="(0.015)",="(0.017)",="(0.012)",="(0.016)"
="L5_vol_ma60",="0.013",="-0.007",="-0.023**",="-0.015",="-0.009",="-0.015*",="-0.014",="-0.004",="0.001",="-0.001",="0.014",="0.013",="-0.011",="-0.005",="-0.009",="-0.006"
="",="(0.010)",="(0.008)",="(0.011)",="(0.010)",="(0.016)",="(0.008)",="(0.015)",="(0.010)",="(0.015)",="(0.011)",="(0.012)",="(0.015)",="(0.017)",="(0.011)",="(0.016)",="(0.012)"
="L6_vol_ma60",="-0.016**",="-0.032***",="-0.024**",="-0.016",="-0.022**",="-0.020",="-0.006",="-0.003",="-0.005",="0.010",="0.008",="-0.017",="-0.014",="-0.016",="-0.018",="-0.007"
="",="(0.008)",="(0.011)",="(0.010)",="(0.016)",="(0.009)",="(0.016)",="(0.010)",="(0.016)",="(0.010)",="(0.014)",="(0.014)",="(0.019)",="(0.011)",="(0.014)",="(0.013)",="(0.013)"
="L7_vol_ma60",="-0.021**",="-0.015*",="-0.008",="-0.010",="-0.008",="0.006",="0.014",="0.010",="0.021",="0.020",="-0.008",="-0.009",="-0.007",="-0.010",="0.000",="-0.005"
="",="(0.009)",="(0.008)",="(0.015)",="(0.008)",="(0.017)",="(0.011)",="(0.016)",="(0.012)",="(0.014)",="(0.014)",="(0.019)",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="(0.016)"
="L8_vol_ma60",="0.007",="0.008",="0.006",="0.006",="0.019*",="0.028*",="0.026**",="0.033***",="0.034**",="0.006",="0.006",="0.003",="-0.001",="0.009",="0.003",="0.023"
="",="(0.007)",="(0.010)",="(0.009)",="(0.014)",="(0.011)",="(0.014)",="(0.012)",="(0.011)",="(0.015)",="(0.016)",="(0.012)",="(0.013)",="(0.011)",="(0.012)",="(0.014)",="(0.014)"
="L1_art1_best",="-0.001",="-0.000",="-0.001",="-0.001",="-0.001",="-0.002***",="-0.002**",="-0.001*",="-0.001",="0.000",="-0.000",="-0.001",="0.000",="-0.001",="0.000",="-0.000"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L2_art1_best",="0.001",="0.001",="0.001",="0.001",="-0.001",="-0.000",="0.000",="0.000",="0.001",="0.000",="-0.000",="0.000",="-0.001",="0.000",="-0.000",="0.000"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L3_art1_best",="0.000",="0.000",="0.001",="-0.000",="0.000",="0.000",="0.000",="0.000",="-0.000",="-0.001",="0.001",="0.000",="0.000",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L4_art1_best",="0.001",="0.001",="-0.000",="-0.000",="-0.000",="0.000",="0.000",="-0.000",="-0.000",="0.000",="0.000",="0.000",="-0.000",="-0.000",="-0.000",="0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L5_art1_best",="0.000",="-0.000",="-0.000",="-0.000",="-0.001",="-0.000",="-0.001",="-0.001",="-0.001",="-0.001",="-0.001",="-0.001",="-0.002",="-0.001",="-0.000",="-0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L6_art1_best",="0.000",="0.000",="-0.000",="-0.000",="0.000",="-0.000",="-0.000",="0.000",="0.000",="0.000",="0.001",="0.000",="0.001",="0.001",="-0.000",="0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L7_art1_best",="0.000",="-0.000",="0.000",="0.001",="0.001",="0.002**",="0.002**",="0.001*",="0.001",="0.001",="0.001",="0.000",="0.001",="0.000",="0.001",="0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L8_art1_best",="-0.001",="-0.000",="-0.000",="-0.000",="0.001",="0.001",="0.001",="0.001",="-0.000",="-0.000",="-0.000",="0.000",="0.000",="0.000",="-0.000",="-0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L1_vix",="0.022",="0.047*",="0.076**",="0.137***",="0.152***",="0.174***",="0.141***",="0.137***",="0.105**",="0.090*",="0.080",="0.124**",="0.124**",="0.141**",="0.067",="0.078"
="",="(0.023)",="(0.027)",="(0.033)",="(0.035)",="(0.037)",="(0.038)",="(0.045)",="(0.039)",="(0.049)",="(0.046)",="(0.051)",="(0.051)",="(0.055)",="(0.055)",="(0.059)",="(0.058)"
="L2_vix",="0.003",="0.007",="0.045",="0.012",="0.025",="-0.025",="0.004",="-0.025",="-0.016",="-0.020",="0.035",="-0.006",="0.003",="-0.079",="-0.005",="-0.025"
="",="(0.032)",="(0.035)",="(0.048)",="(0.045)",="(0.054)",="(0.054)",="(0.062)",="(0.059)",="(0.071)",="(0.066)",="(0.073)",="(0.066)",="(0.080)",="(0.075)",="(0.090)",="(0.084)"
="L3_vix",="-0.019",="0.019",="-0.014",="-0.006",="-0.064",="-0.038",="-0.066",="-0.056",="-0.052",="0.006",="-0.034",="-0.035",="-0.114",="-0.045",="-0.054",="-0.051"
="",="(0.030)",="(0.029)",="(0.041)",="(0.037)",="(0.051)",="(0.048)",="(0.057)",="(0.056)",="(0.064)",="(0.057)",="(0.063)",="(0.062)",="(0.074)",="(0.071)",="(0.085)",="(0.083)"
="L4_vix",="0.040",="0.009",="0.024",="-0.036",="-0.008",="-0.028",="-0.018",="-0.012",="0.046",="0.012",="0.013",="-0.057",="0.012",="-0.003",="-0.014",="-0.049"
